,index,Titre,Année,Genres,Synopsis,Note,Votes,Popularité,Durée,youtube_url,poster_url,id,Budget,Recette,Synopsis_fr
10,11,Les Héroïques,2021,Comédie | Drame,"Michel is an eternal kid who dreams only of motorcycles and hangs out with his big son Léo and his friends. At fifty, he has to deal with the baby he just had with his ex, and fights not to make the same mistakes and be a good guy.",7.0,14.0,0.4614,99.0,https://www.youtube.com/watch?v=Mph4Pa2wLZE,https://image.tmdb.org/t/p/w500/4YE9an8YESdq0XWQL3Qh4zVygkO.jpg,789578,0.0,0.0,"Michel est un éternel enfant qui ne rêve que de moto et traîne avec son grand fils Léo et ses amis. A cinquante ans, il doit composer avec le bébé qu'il vient d'avoir avec son ex, et se bat pour ne pas commettre les mêmes erreurs et être un type bien."
11,12,Bébé à bord,2008,Comédie | Romance | Téléfilm,,7.4,5.0,0.0687,90.0,,https://image.tmdb.org/t/p/w500/VQjrU0X7x7BvB6kXrhWPUeEMr2.jpg,265998,0.0,0.0,
12,13,Des frères et des sœurs,2014,Comédie,"Three siblings gather to celebrate the birthday of their father, on the island of Ré. This is Adele, the elder of the two sisters, who had the idea to organize this surprise. Alice and Antoine adhere immediately. Arnaud, the eldest, is sidelined because of his bad temper. But then they make their way to the family home, an incident occurs. A black cat crossing the road when the father arrived by motorcycle. It is the accident.",7.0,3.0,0.1738,90.0,,https://image.tmdb.org/t/p/w500/d7wtGdQTh838yYicggQTCpu1Toi.jpg,266804,0.0,0.0,"Trois frères et sœurs se réunissent pour fêter l'anniversaire de leur père, sur l'île de Ré. C'est Adèle, l'aînée des deux sœurs, qui a eu l'idée d'organiser cette surprise. Alice et Antoine adhèrent immédiatement. Arnaud, l'aîné, est mis à l'écart à cause de son mauvais caractère. Mais alors qu’ils se dirigent vers la maison familiale, un incident survient. Un chat noir traversant la route lorsque le père est arrivé en moto. C'est l'accident."
13,14,Les petites couleurs,2002,Comédie | Drame,Swiss drama in the form of a road movie starring Bernadette Lafont. Hairdresser Christelle is harassed daily by her chauvinistic husband until she can no longer stand it and flees. She then meets the strong landlady Mona and learns to see her life from a different perspective.,7.8,3.0,0.2797,94.0,,https://image.tmdb.org/t/p/w500/auXnQ7VXc4kUcsTX1XMkt6D8QoJ.jpg,5047,0.0,0.0,Drame suisse sous forme de road movie avec Bernadette Lafont. La coiffeuse Christelle est harcelée quotidiennement par son mari chauvin jusqu'à ce qu'elle n'en puisse plus et s'enfuie. Elle rencontre alors la forte propriétaire Mona et apprend à voir sa vie sous un angle différent.
14,15,Golden Boy,1996,Comédie,Antoine a Union representative works in a financially troubled factory. He's not the sharpest tool in the box but he has a big heart and when he and his wife win the jackpot of the national lottery. Antoine will invest his gain to try and safe the factory.,7.2,4.0,0.4754,90.0,,https://image.tmdb.org/t/p/w500/1v6VNIzETGrX4X5B4NADaEVRxRy.jpg,267285,0.0,0.0,"Antoine, un représentant syndical, travaille dans une usine en difficulté financière. Ce n'est pas l'outil le plus pointu de la boîte mais il a un grand cœur et quand lui et sa femme remportent le jackpot de la loterie nationale. Antoine va investir ses gains pour tenter de sécuriser l'usine."
15,16,Les Choristes,2004,Drame | Comédie | Musique,"In 1940s France, a new teacher at a school for disruptive boys gives hope and inspiration.",7.737,2596.0,5.5775,97.0,https://www.youtube.com/watch?v=d_JyZueGpHc,https://image.tmdb.org/t/p/w500/kfWIeoVIBBxLQKhJ22LWYvcEgaP.jpg,5528,5300000.0,83600000.0,"Dans la France des années 40, un nouveau professeur dans une école pour garçons perturbateurs donne espoir et inspiration."
16,17,Fary : Aime-moi si tu peux,2024,Comédie,"Fary is back on stage to probe, uncompromisingly, the torments of couples and love. After two previous shows broadcast in over 190 countries, he returns with a new show: ""Love me if you can"". With this new performance, Fary demonstrates an extraordinary ability to reinvent himself while continuing to subtly address the themes that are dear to him.",7.395,19.0,0.1078,67.0,,https://image.tmdb.org/t/p/w500/rhu6lSxXfRxmsKVQacUDNzbOfg9.jpg,1317357,0.0,0.0,"Fary remonte sur scène pour sonder, sans concession, les tourments du couple et de l'amour. Après deux précédentes émissions diffusées dans plus de 190 pays, il revient avec une nouvelle émission : ""Aime-moi si tu peux"". Avec cette nouvelle performance, Fary démontre une extraordinaire capacité à se réinventer tout en continuant d'aborder avec subtilité les thèmes qui lui sont chers."
17,18,Train de vie,1998,Drame | Comédie | Guerre,"In 1941, the inhabitants of a small Jewish village in Central Europe organize a fake deportation train so that they can escape the Nazis and flee to Palestine.",7.339,292.0,0.9173,103.0,,https://image.tmdb.org/t/p/w500/hiMf74Vf0hPSOxpydnLuafjiZov.jpg,8056,154790.0,3311162.0,"En 1941, les habitants d'un petit village juif d'Europe centrale organisent un faux train de déportation pour échapper aux nazis et fuir vers la Palestine."
18,19,J'ai toujours rêvé d'être un gangster,2008,Drame | Comédie | Crime,"Told in four vignettes, this existential comedy relates the exploits of four aspiring criminals who hope to improve their lot, but find that they might not have what it takes for a life of crime.",7.3,87.0,0.3774,108.0,https://www.youtube.com/watch?v=8Dk_M3HF6v4,https://image.tmdb.org/t/p/w500/4SAADo3TZ7quY7GSrmoYdEIxeBN.jpg,8281,0.0,0.0,"Racontée en quatre vignettes, cette comédie existentielle raconte les exploits de quatre aspirants criminels qui espèrent améliorer leur sort, mais découvrent qu'ils n'ont peut-être pas ce qu'il faut pour mener une vie de crime."
19,20,Jeux d'enfants,2003,Drame | Comédie | Romance,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.",7.234,1870.0,2.4288,93.0,https://www.youtube.com/watch?v=Zxw6IL3Qed0,https://image.tmdb.org/t/p/w500/e9tYnBBTEQG19K3EXuIwjJBkUNo.jpg,8424,0.0,8561371.0,"Devenus adultes, les meilleurs amis Julien et Sophie continuent le jeu étrange qu'ils ont commencé lorsqu'ils étaient enfants : une compétition intrépide pour se surpasser avec des cascades audacieuses et scandaleuses. Bien qu'ils agissent souvent pour soulager la douleur de chacun, leur jeu pourrait être un moyen d'éviter le fait qu'ils sont vraiment faits l'un pour l'autre."
20,21,Le Dîner de cons,1998,Comédie,"For Pierre Brochant and his friends, Wednesday is “Idiots' Day”. The idea is simple: each person has to bring along an idiot. The one who brings the most spectacular idiot wins the prize. Tonight, Brochant is ecstatic. He has found a gem. The ultimate idiot, “A world champion idiot!”. What Brochant doesn’t know is that Pignon is a real jinx, a past master in the art of bringing on catastrophes...",7.761,2054.0,3.015,80.0,https://www.youtube.com/watch?v=wx0mwd9l93Q,https://image.tmdb.org/t/p/w500/7ukFDHExWul2Zz3L0OH8CaZCp2Z.jpg,9421,12500000.0,78599508.0,"Pour Pierre Brochant et ses amis, le mercredi est le « jour des idiots ». L'idée est simple : chacun doit amener un idiot. Celui qui amène l'idiot le plus spectaculaire remporte le prix. Ce soir, Brochant est aux anges. Il a trouvé un joyau. L’idiot ultime, « Un idiot champion du monde ! ». What Brochant doesn’t know is that Pignon is a real jinx, a past master in the art of bringing on catastrophes..."
21,22,Le Bourgeois gentilhomme,1982,Comédie,"In this adaptation of the play by Molière, Monsieur Jourdain, social climber, nouveau rich but naive, dreams of being recognized in high society. He hires  masters of music, dance, philosophy. He has gone mad with thoughts of honors, decorations, and power.",7.6,5.0,0.3432,128.0,,https://image.tmdb.org/t/p/w500/h6QFXr3IBA8cZVq8jt0Gu2NWTbf.jpg,533846,0.0,0.0,"Dans cette adaptation de la pièce de Molière, Monsieur Jourdain, arriviste, nouveau riche mais naïf, rêve d'être reconnu dans la haute société. Il engage des maîtres de musique, de danse, de philosophie. Il est devenu fou en pensant aux honneurs, aux décorations et au pouvoir."
22,23,Les Triplettes de Belleville,2003,Animation | Comédie | Drame | Familial,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters—an aged song-and-dance team from the days of Fred Astaire—to rescue him.",7.396,1035.0,1.8428,78.0,https://www.youtube.com/watch?v=IHR8kcyPNqs,https://image.tmdb.org/t/p/w500/5GrYyY09JbMg9fhtITeK4pKDsHc.jpg,9662,9500000.0,14776760.0,"Lorsque son petit-fils est kidnappé pendant le Tour de France, Madame Souza et son chien bien-aimé Bruno font équipe avec les Sœurs de Belleville, une vieille équipe de chant et de danse de l'époque de Fred Astaire, pour le sauver."
23,24,Dolce far niente,1999,Comédie | Drame,"This movie depicts the two years that young Stendhal spent in Italy. Stendhal, that time still known simply as Henri Beyle, is living the life of a wanderer, looking for a direction in his life, meeting famous Rossini and falling in love with young widow Giuseppina. A story of love, betrayal and an analysis of women and men's minds and souls.",7.8,4.0,0.2139,119.0,,https://image.tmdb.org/t/p/w500/agaeQCi2VlqEYX4UnUhyXm8lz9A.jpg,534349,0.0,0.0,"Ce film retrace les deux années que le jeune Stendhal a passées en Italie. Stendhal, alors connu simplement sous le nom d'Henri Beyle, vit la vie d'un vagabond, cherchant une direction à sa vie, rencontrant le célèbre Rossini et tombant amoureux de la jeune veuve Giuseppina. Une histoire d'amour, de trahison et une analyse de l'esprit et de l'âme des femmes et des hommes."
24,25,C'est arrivé près de chez vous,1992,Comédie | Crime,"The activities of rampaging, indiscriminate serial killer Ben are recorded by a willingly complicit documentary team, who eventually become his accomplices and active participants. Ben provides casual commentary on the nature of his work and arbitrary musings on topics of interest to him, such as music or the conditions of low-income housing, and even goes so far as to introduce the documentary crew to his family. But their reckless indulgences soon get the better of them.",7.228,1004.0,2.3474,95.0,,https://image.tmdb.org/t/p/w500/iQ8SAPYv02nltXtznaK4kaIKRys.jpg,10086,33000.0,205569.0,"Les activités du tueur en série déchaîné et aveugle Ben sont enregistrées par une équipe de documentaires volontairement complices, qui finissent par devenir ses complices et participants actifs. Ben commente avec désinvolture la nature de son travail et réfléchit arbitrairement sur des sujets qui l'intéressent, comme la musique ou les conditions des logements sociaux, et va même jusqu'à présenter l'équipe du documentaire à sa famille. Mais leurs indulgences inconsidérées prennent vite le dessus sur eux."
25,26,La Fille sur le pont,1999,Drame | Comédie | Romance,"It's night on a Paris bridge. A girl leans over Seine River with tears in her eyes and a violent yearning to drown her sorrows. Out of nowhere someone takes an interest in her. He is Gabor, a knife thrower who needs a human target for his show. The girl, Adele, has never been lucky and nowhere else to go. So she follows him. They travel along the northern bank of the Mediterranean to perform.",7.018,224.0,1.0154,90.0,https://www.youtube.com/watch?v=VgUULmasNIc,https://image.tmdb.org/t/p/w500/t5hKllCsmpWWA7XpxBXPjx0Gfct.jpg,10401,0.0,0.0,"Il fait nuit sur un pont parisien. Une jeune fille se penche au-dessus de la Seine, les larmes aux yeux et une violente envie de noyer ses chagrins. Sorti de nulle part, quelqu'un s'intéresse à elle. Il s'agit de Gabor, un lanceur de couteaux qui a besoin d'une cible humaine pour son spectacle. La fille, Adele, n’a jamais eu de chance et nulle part où aller. Alors elle le suit. Ils parcourent la rive nord de la Méditerranée pour se produire."
26,27,Le dernier jour du jeûne,2020,Comédie,,7.5,2.0,0.3281,143.0,,https://image.tmdb.org/t/p/w500/4t0O0POljTCFX4Rdj6VHIlJOs1U.jpg,797265,0.0,0.0,
27,28,L'Alambic,1998,Comédie | Téléfilm,,8.0,2.0,0.0948,92.0,,https://image.tmdb.org/t/p/w500/cGA7zWfF7FSq7L8Vc6t8ms6wRHY.jpg,797403,0.0,0.0,
28,29,Les Filles à papa,2001,Comédie | Téléfilm | Familial,"Jean-Jacques Daloiseau has worked as civil servant in the Ministry of Health and his now retired.Jean-Jacques and his old friend Robert have always dreamed of a sailboat and a trip around the world by sailboat.They have found a nice sailboat: Robert has paid his part but Jean-Jacques needs to sell a ground in the Soth of France.And also Jean-Jacques needs to speak with his wife Carole about this trip around the world with Robert.Then begin all the difficulties and impediments.Carole doesn't agree with this and runs away to London.Then one daughter ,Pauline, has problems with her husband and has come back home with her children.So Jean-Jacques becomes a nanny and has to solve all the problems of his daughters, find the money for boat and recover the love of Carole.",7.0,2.0,0.4349,94.0,,https://image.tmdb.org/t/p/w500/lgGwRrmNtux6nd8gDoq7wyJS3qO.jpg,797517,0.0,0.0,"Jean-Jacques Daloiseau a travaillé comme fonctionnaire au ministère de la Santé et est désormais à la retraite. Jean-Jacques et son vieil ami Robert ont toujours rêvé d'un voilier et d'un tour du monde en voilier. Ils ont trouvé un joli voilier : Robert a payé sa part mais Jean-Jacques doit vendre un terrain dans le sud de la France. Et aussi Jean-Jacques doit parler avec sa femme Carole de ce tour du monde avec Robert. Alors commencent toutes les difficultés et les empêchements. Carole ne le fait pas. d'accord avec cela et s'enfuit à Londres. Puis une fille, Pauline, a des problèmes avec son mari et est revenue à la maison avec ses enfants. Alors Jean-Jacques devient nounou et doit résoudre tous les problèmes de ses filles, trouver l'argent pour le bateau et retrouver l'amour de Carole."
29,30,Les Fourberies de Scapin,2020,Comédie,,8.5,2.0,0.0852,93.0,,https://image.tmdb.org/t/p/w500/kAz2mQePUCVakezGkmPQbKXHt9u.jpg,535497,0.0,0.0,
30,31,Angel-A,2005,Romance | Comédie | Drame | Fantastique,A beautiful and mysterious woman helps an inept scam artist get his game together... but is their meeting purely coincidence?,7.0,779.0,1.47,90.0,https://www.youtube.com/watch?v=8Q1oFUKM0O0,https://image.tmdb.org/t/p/w500/ojUGHGfroGRwW7jO0727txepQbC.jpg,11227,15000000.0,9995168.0,Une femme belle et mystérieuse aide un escroc incompétent à reprendre son jeu... mais leur rencontre est-elle une pure coïncidence ?
31,32,Le voyage de la grande duchesse,2003,Comédie | Familial | Téléfilm,,7.0,2.0,0.3165,90.0,,https://image.tmdb.org/t/p/w500/7ByD5kziELXg1iYhVbkido6fPlc.jpg,797805,0.0,0.0,
32,33,Les Inconnus - La Totale ! (Vol. 3),2017,Comédie,,8.4,12.0,0.1154,111.0,,https://image.tmdb.org/t/p/w500/141tA75P9fwIipC5geRQ3lFmfcX.jpg,535713,0.0,0.0,
33,34,Les Inconnus - La Totale ! (Vol. 1),2017,Comédie,,8.3,12.0,0.1157,94.0,,https://image.tmdb.org/t/p/w500/nVkNcMBMPoTHf3NZH0DDYkTnBop.jpg,535722,0.0,0.0,
34,35,Cyrano de Bergerac,1990,Drame | Comédie | Histoire | Romance,"Famed swordsman and poet Cyrano de Bergerac is in love with his cousin Roxane. He has never expressed his love for her as he his large nose undermines his self-confidence. Then he finds a way to express his love to her, indirectly.",7.319,822.0,2.0733,137.0,https://www.youtube.com/watch?v=fnFv7IAoWP8,https://image.tmdb.org/t/p/w500/7X4lCnelWJIuoMRLZqom5aAWRUU.jpg,11673,0.0,5822041.0,"Le célèbre épéiste et poète Cyrano de Bergerac est amoureux de sa cousine Roxane. Il ne lui a jamais exprimé son amour car son gros nez mine sa confiance en lui. Puis il trouve un moyen de lui exprimer son amour, indirectement."
35,36,Les Visiteurs,1993,Fantastique | Comédie,"After a wizard's spell goes awry, 12th-century Gallic knight Godefroy de Papincourt, Count of Montmirail finds himself transported to 1993, along with his dimwitted servant, Jacquouille la Fripouille. Startled and perplexed by modern technology, the duo run amok, destroying cars and causing chaos until they meet Beatrice de Montmirail, an aristocratic descendant of the nobleman, who may be able to help them get back to 1123.",7.121,2049.0,5.383,105.0,https://www.youtube.com/watch?v=wOMZzFIhPL0,https://image.tmdb.org/t/p/w500/hPCq0buG5PaXgKjzT2ktjrjlpbj.jpg,11687,9500000.0,98800000.0,"Après que le sort d'un sorcier tourne mal, le chevalier gaulois du XIIe siècle Godefroy de Papincourt, comte de Montmirail, se retrouve transporté en 1993, avec sa servante idiote, Jacquouille la Fripouille. Surpris et perplexe face à la technologie moderne, le duo se déchaîne, détruisant des voitures et semant le chaos jusqu'à ce qu'ils rencontrent Béatrice de Montmirail, une descendante aristocratique du noble, qui pourra peut-être les aider à retourner en 1123."
36,37,Un diner d'adieu,2014,Comédie,"Why do we often go to dinners we don't want to attend, to see friends who aren't really friends anymore? Out of habit? Out of kindness? Out of cowardice? Intoxicated by the idea of tidying up their schedules by sorting through their old friends, Pierre and Clotilde Lecoeur (played by ERIC ELMOSNINO and LYSIANE MEIS) decide to organize farewell dinners, the ultimate form of friendly divorce. However, by choosing - as their first victim - Antoine Royer (played by GUILLAUME DE TONQUÉDEC), their oldest friend, Pierre and Clotilde are unaware that they are getting caught up in a downward spiral.",7.5,4.0,0.3005,103.0,,https://image.tmdb.org/t/p/w500/rdc9CbYSsIVBdQVd5kHdtmvY2rC.jpg,536819,0.0,0.0,"Pourquoi allons-nous souvent à des dîners auxquels nous ne voulons pas assister, pour voir des amis qui ne le sont plus vraiment ? Par habitude ? Par gentillesse ? Par lâcheté ? Enivrés à l'idée de ranger leur emploi du temps en faisant le tri entre leurs vieux amis, Pierre et Clotilde Lecoeur (interprétés par ERIC ELMOSNINO et LYSIANE MEIS) décident d'organiser des dîners d'adieu, forme ultime de divorce amical. Pourtant, en choisissant - comme première victime - Antoine Royer (incarné par GUILLAUME DE TONQUÉDEC), leur plus vieil ami, Pierre et Clotilde ignorent qu'ils s'engagent dans une spirale infernale."
37,38,Le Château de ma mère,1990,Aventure | Comédie | Drame | Romance,"To his chagrin, young Marcel Pagnol and his family move back to their home in Marseille, France, far from their pastoral holiday cottage in the hills. Determined, Marcel makes the long voyage back to the cottage on foot and lands himself in trouble. One day Marcel's father discovers a shortcut to the cottage, but it requires trespassing. Despite their trepidations, Marcel and his family begin using the secret trail to reach their cottage.",7.2,297.0,1.2997,97.0,https://www.youtube.com/watch?v=88olLaEqPdk,https://image.tmdb.org/t/p/w500/sdLkKpZ89HrdUARyHYgBGEB62cB.jpg,12717,0.0,0.0,"À son grand regret, le jeune Marcel Pagnol et sa famille retournent vivre dans leur maison de Marseille, en France, loin de leur gîte pastoral dans les collines. Déterminé, Marcel fait le long voyage de retour au chalet à pied et se retrouve dans une situation difficile. Un jour, le père de Marcel découvre un raccourci vers le chalet, mais il nécessite une intrusion. Malgré leurs appréhensions, Marcel et sa famille commencent à emprunter le sentier secret pour rejoindre leur chalet."
38,40,Alban Ivanov - Élément perturbateur,2018,Comédie,"Alban Ivanov brings to life many sometimes infrequent characters. The artist also talks about his childhood, between difficult schooling and a shattered family, his fatherhood and his married life. And Alban Ivanov doesn't hesitate to say all the good things he thinks about Paris .",7.2,41.0,0.1823,70.0,,https://image.tmdb.org/t/p/w500/xs2NV4Dq5tGqOBEu9ixd9VgrIPe.jpg,537197,0.0,0.0,"Alban Ivanov donne vie à de nombreux personnages parfois peu fréquents. L'artiste parle aussi de son enfance, entre scolarité difficile et famille brisée, de sa paternité et de sa vie conjugale. Et Alban Ivanov n'hésite pas à dire tout le bien qu'il pense de Paris."
39,41,Waly Dia : Ensemble ou rien,2022,Comédie,,7.8,4.0,0.0214,90.0,,https://image.tmdb.org/t/p/w500/l8PUsV2sAmZ3QInaXUFtGra8sQe.jpg,1061543,0.0,0.0,
40,42,Le Grand Restaurant : La Guerre de l'étoile,2022,Comédie | Téléfilm,"For this new year, Pierre, the director of the Grand Restaurant is thinking big to try to get the famous star from the famous Michalon guide! And for that, he settles at the foot of the Eiffel Tower. Pierre faces an unscrupulous culinary critic, who will offer him a dubious deal: to dismiss his historic chef in exchange for this famous star. Will the manager of the Grand Restaurant accept?",8.0,2.0,0.4012,102.0,,https://image.tmdb.org/t/p/w500/epIO6cmyXJoYuX5qAF2cpDQbi8s.jpg,1062061,0.0,0.0,"Pour cette nouvelle année, Pierre, le directeur du Grand Restaurant voit grand pour tenter d'obtenir la célèbre étoile du célèbre guide Michalon ! Et pour cela, il s'installe au pied de la Tour Eiffel. Pierre fait face à un critique culinaire sans scrupules, qui va lui proposer un marché douteux : licencier son chef historique en échange de cette célèbre étoile. Le gérant du Grand Restaurant acceptera-t-il ?"
41,43,La Bastide bleue,2005,Téléfilm | Comédie | Drame,,7.5,2.0,0.1711,89.0,,https://image.tmdb.org/t/p/w500/3ICno3RYSENivcKw1BpPgglGHaq.jpg,800040,0.0,0.0,
42,44,Le père Noël est une ordure,1982,Comédie,"Two neurotics, working for a suicide hotline on the night of Christmas Eve, get caught up in a catastrophe when a pregnant woman, her abusive boyfriend, and a cross-dresser visit their office.",7.3,1058.0,2.2359,90.0,https://www.youtube.com/watch?v=NH1-TVeV7V4,https://image.tmdb.org/t/p/w500/i5KrHnqlFr5taNRPREXQKV104Fy.jpg,14645,0.0,0.0,"Deux névrosés travaillant pour une ligne d'assistance téléphonique anti-suicide la nuit de la veille de Noël se retrouvent pris dans une catastrophe lorsqu'une femme enceinte, son petit ami violent et un travesti visitent leur bureau."
